Rental_state;Start;End;Revenue;Distance;duration_minute;revenue_minute;revenue_km;car_id;accum_distance;battery_left;reset_flag;segment;running_duration;running_revenue;profitable_minutes;Incentive20;Incentive15;Incentive10;Incentive5
RED;54:20,8;15:35,6;13,94;5;81,2456;0,171578522;2,788;1;5;97,5;1;1000009;81,2456;13,94;0;-20;-15;-10;-5
RED;16:07,3;20:51,4;1,3;1;4,735283333;0,274534787;1,3;1;6;97;0;1000009;85,98088333;15,24;0;-20;-15;-10;-5
RED;29:49,9;49:39,3;4,03;6;19,8221;0,203308428;0,671666667;1;12;94;0;1000009;105,8029833;19,27;0;-20;-15;-10;-5
RED;52:02,3;57:16,8;1,21;0;5,241483333;0,230850682;inf;1;12;94;0;1000009;111,0444667;20,48;0;-20;-15;-10;-5
RED;10:27,3;49:59,4;9,36;17;39,53386667;0,236759032;0,550588235;1;29;85,5;0;1000009;150,5783333;29,84;0;-20;-15;-10;-5
RED;55:36,4;16:28,7;4,24;10;20,87126667;0,203150104;0,424;1;39;80,5;0;1000009;171,4496;34,08;0;-20;-15;-10;-5
RED;23:43,2;34:52,0;2,22;4;11,14631667;0,199168933;0,555;1;43;78,5;0;1000009;182,5959167;36,3;0;-20;-15;-10;-5
RED;37:31,7;45:13,4;1,53;1;7,694033333;0,19885539;1,53;1;44;78;0;1000009;190,28995;37,83;0;-20;-15;-10;-5
RED;06:59,7;14:59,6;2,08;2;7,9992;0,260026003;1,04;1;46;77;0;1000009;198,28915;39,91;0;-20;-15;-10;-5
RED;27:01,3;56:05,2;5,85;10;29,06446667;0,201276702;0,585;1;56;72;0;1000009;227,3536167;45,76;0;-20;-15;-10;-5
RED;58:15,0;18:36,5;6;4;20,35776667;0,294727811;1,5;1;60;70;0;1000009;247,7113833;51,76;0;-20;-15;-10;-5
RED;19:42,1;27:12,9;1,61;3;7,514033333;0,214265752;0,536666667;1;63;68,5;0;1000009;255,2254167;53,37;0;-20;-15;-10;-5
RED;40:53,3;55:07,6;2,82;5;14,2371;0,198074046;0,564;1;68;66;0;1000009;269,4625167;56,19;0;-20;-15;-10;-5
RED;41:57,1;48:36,0;1,21;3;6,647733333;0,182016928;0,403333333;1;71;64,5;0;1000009;276,11025;57,4;0;-20;-15;-10;-5
RED;08:21,9;19:13,8;1,97;1;10,86463333;0,181322272;1,97;1;72;64;0;1000009;286,9748833;59,37;0;-20;-15;-10;-5
RED;17:33,4;31:36,6;2,82;6;14,05256667;0,200675084;0,47;1;78;61;0;1000009;301,02745;62,19;0;-20;-15;-10;-5
RED;32:08,8;50:47,8;3,83;6;18,65013333;0,205360462;0,638333333;1;84;58;0;1000009;319,6775833;66,02;0;-20;-15;-10;-5
RED;52:23,3;05:26,4;2,62;3;13,05153333;0,200742697;0,873333333;1;87;56,5;0;1000009;332,7291167;68,64;0;-20;-15;-10;-5
RED;36:48,4;58:51,5;4,44;11;22,0515;0,201346847;0,403636364;1;98;51;0;1000009;354,7806167;73,08;0;-20;-15;-10;-5
RED;08:18,4;36:12,7;5,23;7;27,90586667;0,187415788;0,747142857;1;105;47,5;0;1000009;382,6864833;78,31;0;-20;-15;-10;-5
RED;37:03,5;48:29,7;2,42;5;11,43666667;0,211600117;0,484;1;110;45;0;1000009;394,12315;80,73;0;-20;-15;-10;-5
RED;24:18,8;35:09,7;2,22;3;10,8483;0,204640358;0,74;1;113;43,5;0;1000009;404,97145;82,95;0;-20;-15;-10;-5
RED;44:07,0;00:57,5;3,43;14;16,84141667;0,203664577;0,245;1;127;36,5;0;1000009;421,8128667;86,38;0;-20;-15;-10;-5
RED;02:08,7;07:18,3;1,3;1;5,160933333;0,251892423;1,3;1;128;36;0;1000009;426,9738;87,68;0;-20;-15;-10;-5
RED;10:11,4;52:15,9;11,37;12;42,07406667;0,270237724;0,9475;1;140;30;0;1000009;469,0478667;99,05;0;-20;-15;-10;-5
RED;15:05,0;56:08,2;8,27;14;41,05431667;0,201440449;0,590714286;1;154;23;0;1000009;510,1021833;107,32;0;-20;-15;-10;-5
RED;03:22,5;28:36,7;4,96;8;25,2368;0,196538388;0,62;1;8;96;1;1000010;25,2368;4,96;0;-20;-15;-10;-5
RED;45:44,2;01:37,2;3,23;8;15,88218333;0,203372542;0,40375;1;16;92;0;1000010;41,11898333;8,19;0;-20;-15;-10;-5
RED;34:43,7;50:14,1;3,03;12;15,50675;0,195398778;0,2525;1;28;86;0;1000010;56,62573333;11,22;0;-20;-15;-10;-5
RED;52:19,3;23:31,3;7,77;18;31,19931667;0,249043916;0,431666667;1;46;77;0;1000010;87,82505;18,99;0;-20;-15;-10;-5
RED;52:06,3;08:25,6;3,23;8;16,3217;0,197896052;0,40375;1;54;73;0;1000010;104,14675;22,22;0;-20;-15;-10;-5
RED;08:30,8;54:13,6;7,86;4;45,71365;0,171939891;1,965;1;58;71;0;1000010;149,8604;30,08;0;-20;-15;-10;-5
RED;08:28,4;34:54,3;5,36;8;26,43256667;0,202780156;0,67;1;66;67;0;1000010;176,2929667;35,44;0;-20;-15;-10;-5
RED;50:15,8;02:02,2;3,13;4;11,77343333;0,265852782;0,7825;1;70;65;0;1000010;188,0664;38,57;0;-20;-15;-10;-5
RED;03:53,7;12:03,2;1,61;2;8,156883333;0,197379309;0,805;1;72;64;0;1000010;196,2232833;40,18;0;-20;-15;-10;-5
RED;12:10,0;18:08,3;1,21;2;5,97085;0,202651214;0,605;1;74;63;0;1000010;202,1941333;41,39;0;-20;-15;-10;-5
RED;27:14,4;45:08,7;3,63;6;17,90545;0,202731571;0,605;1;80;60;0;1000010;220,0995833;45,02;0;-20;-15;-10;-5
RED;48:19,1;53:58,7;1,21;2;5,6593;0,213807361;0,605;1;82;59;0;1000010;225,7588833;46,23;0;-20;-15;-10;-5
RED;55:23,3;18:19,1;4,64;12;22,9298;0,202356758;0,386666667;1;94;53;0;1000010;248,6886833;50,87;0;-20;-15;-10;-5
RED;23:44,1;29:50,9;1,21;1;6,11445;0,197891879;1,21;1;95;52,5;0;1000010;254,8031333;52,08;0;-20;-15;-10;-5
RED;49:16,7;42:22,2;13,56;34;53,0923;0,255404268;0,398823529;1;129;35,5;0;1000010;307,8954333;65,64;0;-20;-15;-10;-5
RED;52:38,6;01:46,6;1,82;2;9,13415;0,199252257;0,91;1;131;34,5;0;1000010;317,0295833;67,46;0;-20;-15;-10;-5
RED;49:10,8;57:12,8;1,61;2;8,033783333;0,200403712;0,805;1;133;33,5;0;1000010;325,0633667;69,07;0;-20;-15;-10;-5
RED;52:55,1;11:21,2;3,63;5;18,43411667;0,196917491;0,726;1;138;31;0;1000010;343,4974833;72,7;0;-20;-15;-10;-5
RED;24:49,1;35:04,6;2,02;3;10,25796667;0,196920117;0,673333333;1;141;29,5;0;1000010;353,75545;74,72;0;-20;-15;-10;-5
RED;40:07,4;55:58,0;3,23;6;15,84466667;0,203854083;0,538333333;1;147;26,5;0;1000010;369,6001167;77,95;0;-20;-15;-10;-5
RED;10:26,8;20:22,9;2,02;2;9,93535;0,203314428;1,01;1;149;25,5;0;1000010;379,5354667;79,97;0;-20;-15;-10;-5
RED;23:29,7;46:00,3;5,59;7;22,511;0,248323042;0,798571429;1;156;22;0;1000010;402,0464667;85,56;0;-20;-15;-10;-5
RED;57:50,0;03:11,7;1,21;0;5,361083333;0,225700651;inf;1;156;22;0;1000010;407,40755;86,77;0;-20;-15;-10;-5
RED;14:21,6;24:51,1;2,02;2;10,49251667;0,19251816;1,01;1;158;21;0;1000010;417,9000667;88,79;0;-20;-15;-10;-5
RED;25:44,1;35:50,5;2,22;4;10,10713333;0,21964685;0,555;1;4;98;1;1000011;10,10713333;2,22;0;-20;-15;-10;-5
RED;03:18,6;16:48,0;2,82;8;13,48985;0,209046061;0,3525;1;12;94;0;1000011;23,59698333;5,04;0;-20;-15;-10;-5
RED;34:53,5;45:53,3;2,14;3;10,996;0,194616224;0,713333333;1;15;92,5;0;1000011;34,59298333;7,18;0;-20;-15;-10;-5
RED;31:06,0;52:15,4;4,24;10;21,1563;0,200413116;0,424;1;25;87,5;0;1000011;55,74928333;11,42;0;-20;-15;-10;-5
RED;32:55,6;39:45,5;1,41;4;6,832466667;0,206367637;0,3525;1;29;85,5;0;1000011;62,58175;12,83;0;-20;-15;-10;-5
RED;40:22,5;25:55,9;7,69;3;45,55605;0,168803046;2,563333333;1;32;84;0;1000011;108,1378;20,52;0;-20;-15;-10;-5
RED;12:20,8;42:53,2;7,87;14;30,54031667;0,257692154;0,562142857;1;46;77;0;1000011;138,6781167;28,39;0;-20;-15;-10;-5
RED;30:01,3;00:05,5;5,88;13;30,06976667;0,195545249;0,452307692;1;59;70,5;0;1000011;168,7478833;34,27;0;-20;-15;-10;-5
RED;14:53,9;31:47,6;4,86;6;16,89508333;0,287657652;0,81;1;65;67,5;0;1000011;185,6429667;39,13;0;-20;-15;-10;-5
RED;54:04,0;03:52,2;1,89;2;9,80465;0,192765678;0,945;1;67;66,5;0;1000011;195,4476167;41,02;0;-20;-15;-10;-5
RED;05:00,8;21:28,2;4,43;6;16,45626667;0,26919836;0,738333333;1;73;63,5;0;1000011;211,9038833;45,45;0;-20;-15;-10;-5
RED;00:23,8;32:50,6;7,59;9;32,44668333;0,233922214;0,843333333;1;82;59;0;1000011;244,3505667;53,04;0;-20;-15;-10;-5
RED;04:29,5;09:48,3;1,01;1;5,31345;0,190083656;1,01;1;83;58,5;0;1000011;249,6640167;54,05;0;-20;-15;-10;-5
RED;19:57,0;12:33,1;10,78;8;52,60118333;0,204938355;1,3475;1;91;54,5;0;1000011;302,2652;64,83;0;-20;-15;-10;-5
RED;48:32,0;14:27,1;5,24;14;25,91868333;0,202170764;0,374285714;1;105;47,5;0;1000011;328,1838833;70,07;0;-20;-15;-10;-5
RED;24:30,3;45:52,2;5,73;8;21,36508333;0,268194601;0,71625;1;113;43,5;0;1000011;349,5489667;75,8;0;-20;-15;-10;-5
RED;25:06,3;47:24,7;4,44;10;22,3066;0,199044229;0,444;1;123;38,5;0;1000011;371,8555667;80,24;0;-20;-15;-10;-5
RED;01:57,5;14:38,6;2,62;6;12,68423333;0,206555645;0,436666667;1;129;35,5;0;1000011;384,5398;82,86;0;-20;-15;-10;-5
RED;24:31,5;36:15,6;2,42;4;11,73408333;0,206236817;0,605;1;133;33,5;0;1000011;396,2738833;85,28;0;-20;-15;-10;-5
RED;06:44,7;25:24,8;4,95;9;18,66895;0,265146138;0,55;1;142;29;0;1000011;414,9428333;90,23;0;-20;-15;-10;-5
RED;40:41,1;16:59,9;6,98;16;36,31343333;0,192215369;0,43625;1;158;21;0;1000011;451,2562667;97,21;0;-20;-15;-10;-5
RED;18:07,7;27:45,8;2,02;3;9,635633333;0,209638529;0,673333333;1;3;98,5;1;1000012;9,635633333;2,02;0;-20;-15;-10;-5
RED;28:26,6;36:12,1;1,61;2;7,758666667;0,207509881;0,805;1;5;97,5;0;1000012;17,3943;3,63;0;-20;-15;-10;-5
RED;40:57,5;08:53,7;5,65;33;27,93648333;0,202244496;0,171212121;1;38;81;0;1000012;45,33078333;9,28;0;-20;-15;-10;-5
RED;46:18,9;55:43,6;2,86;4;9,41155;0,303881932;0,715;1;42;79;0;1000012;54,74233333;12,14;0;-20;-15;-10;-5
RED;35:42,4;38:24,2;0,61;1;2,696266667;0,22623875;0,61;1;43;78,5;0;1000012;57,4386;12,75;0;-20;-15;-10;-5
RED;57:45,4;05:58,2;1,61;3;8,213766667;0,196012386;0,536666667;1;46;77;0;1000012;65,65236667;14,36;0;-20;-15;-10;-5
