Rental_state,Start,End,Revenue,Distance,duration_minute,revenue_minute,revenue_km,car_id,battery_left,profitable_minutes,Incentive20,Incentive15,Incentive10,Incentive5
RED,2017-01-26 19:24:40.005,2017-01-26 19:37:15.646,2.62,7,12.594016666666667,0.20803529718477426,0.3742857142857143,1,24.0,9.263199999999983,-10.736800000000017,-5.7368000000000166,-0.7368000000000166,4.2631999999999834
RED,2017-01-26 19:41:25.757,2017-01-26 19:48:33.122,1.41,4,7.12275,0.19795724965778666,0.3525,1,22.0,16.38594999999998,-3.61405000000002,1.3859499999999798,6.38594999999998,11.38594999999998
RED,2017-01-26 22:08:55.192,2017-01-26 22:15:54.652,1.41,2,6.991,0.20168788442282934,0.705,1,21.0,23.376949999999965,3.3769499999999653,8.376949999999965,13.376949999999965,18.376949999999965
RED,2017-01-30 13:52:08.224,2017-01-30 19:49:17.320,59.4,7,357.15160000000003,0.1663159285860682,8.485714285714286,1,30.5,235.87536666666665,215.87536666666665,220.87536666666665,225.87536666666665,230.87536666666665
RED,2017-01-30 19:56:10.203,2017-01-30 20:22:30.649,5.24,9,26.340766666666664,0.19893118777863975,0.5822222222222222,1,26.0,262.21613333333335,242.21613333333335,247.21613333333335,252.21613333333335,257.21613333333335
RED,2017-01-31 05:27:01.965,2017-01-31 05:35:36.502,1.82,6,8.575616666666667,0.21222963557528418,0.30333333333333334,1,23.0,270.7917500000001,250.7917500000001,255.7917500000001,260.7917500000001,265.7917500000001
RED,2017-02-11 16:01:19.154,2017-02-11 16:16:46.178,3.91,4,15.4504,0.2530678817376896,0.9775,1,22.5,10.326000000000022,-9.673999999999978,-4.673999999999978,0.32600000000002183,5.326000000000022
RED,2017-02-11 17:04:37.162,2017-02-11 17:15:42.770,2.22,4,11.093466666666666,0.2001177870458288,0.555,1,20.5,21.41946666666672,1.4194666666667217,6.419466666666722,11.419466666666722,16.41946666666672
RED,2017-02-25 10:03:44.063,2017-02-25 19:11:03.331,0.32,0,547.3211333333333,0.000584665894501668,inf,1,20.5,420.1813833333333,400.1813833333333,405.1813833333333,410.1813833333333,415.1813833333333
RED,2017-02-28 10:52:44.819,2017-02-28 11:17:19.229,4.84,9,24.573500000000003,0.19696013998819864,0.5377777777777778,1,23.0,15.92016666666666,-4.07983333333334,0.9201666666666597,5.92016666666666,10.92016666666666
RED,2017-02-28 13:42:53.997,2017-02-28 13:54:33.538,2.34,4,11.659016666666668,0.20070303241697052,0.585,1,21.0,27.57918333333339,7.57918333333339,12.57918333333339,17.57918333333339,22.57918333333339
RED,2017-03-16 08:05:41.762,2017-03-16 08:26:54.973,6.0,7,21.220183333333335,0.28274967778317966,0.8571428571428571,1,24.5,9.709699999999998,-10.290300000000002,-5.290300000000002,-0.290300000000002,4.709699999999998
RED,2017-03-25 19:40:06.619,2017-03-25 20:00:55.253,4.24,6,20.810566666666666,0.2037426499678849,0.7066666666666667,1,55.0,12.401666666666642,-7.598333333333358,-2.5983333333333576,2.4016666666666424,7.401666666666642
RED,2017-03-25 20:02:11.288,2017-03-25 20:09:08.049,1.53,0,6.946016666666667,0.2202701308423773,inf,1,55.0,19.347683333333293,-0.6523166666667066,4.347683333333293,9.347683333333293,14.347683333333293
RED,2017-03-25 20:12:10.433,2017-03-25 20:31:15.667,5.43,5,19.087233333333334,0.2844833457616522,1.0859999999999999,1,52.5,38.43491666666671,18.43491666666671,23.43491666666671,28.43491666666671,33.43491666666671
RED,2017-03-25 22:15:43.929,2017-03-25 22:42:05.119,6.77,11,26.353166666666667,0.25689512329321584,0.6154545454545454,1,47.0,64.78808333333336,44.78808333333336,49.78808333333336,54.78808333333336,59.78808333333336
RED,2017-03-25 23:11:42.503,2017-03-25 23:20:43.809,1.82,4,9.021766666666668,0.20173432402374994,0.455,1,44.99999999999999,73.80984999999998,53.80984999999998,58.80984999999998,63.80984999999998,68.80984999999998
RED,2017-03-25 23:38:38.587,2017-03-25 23:52:38.575,4.0,5,13.9998,0.28571836740524864,0.8,1,42.50000000000001,87.80965000000003,67.80965000000003,72.80965000000003,77.80965000000003,82.80965000000003
RED,2017-03-26 05:01:58.704,2017-03-26 05:16:18.534,2.82,7,14.3305,0.19678308502843583,0.40285714285714286,1,39.0,102.14015000000006,82.14015000000006,87.14015000000006,92.14015000000006,97.14015000000006
RED,2017-03-26 06:53:26.292,2017-03-26 07:05:27.241,2.42,5,12.015816666666666,0.20140120868466424,0.484,1,36.5,114.1559666666667,94.1559666666667,99.1559666666667,104.1559666666667,109.1559666666667
RED,2017-03-26 07:52:11.602,2017-03-26 07:55:56.560,0.81,1,3.7493,0.21604032752780522,0.81,1,36.0,117.90526666666665,97.90526666666665,102.90526666666665,107.90526666666665,112.90526666666665
RED,2017-03-26 16:24:21.092,2017-03-26 16:48:42.969,5.04,9,24.364616666666667,0.20685734846365322,0.56,1,31.5,142.26988333333338,122.26988333333338,127.26988333333338,132.26988333333338,137.26988333333338
RED,2017-03-26 18:49:25.063,2017-03-26 18:57:33.989,1.61,3,8.148766666666667,0.19757591128309807,0.5366666666666667,1,30.0,150.41865000000007,130.41865000000007,135.41865000000007,140.41865000000007,145.41865000000007
RED,2017-03-26 19:13:49.262,2017-03-26 19:30:52.649,3.43,5,17.056449999999998,0.20109694573020767,0.686,1,27.5,167.4751,147.4751,152.4751,157.4751,162.4751
RED,2017-03-26 20:05:27.892,2017-03-26 20:19:22.185,2.82,8,13.904883333333334,0.2028064480943745,0.3525,1,23.5,181.37998333333337,161.37998333333337,166.37998333333337,171.37998333333337,176.37998333333337
RED,2017-03-26 20:39:24.361,2017-03-26 20:52:59.859,2.82,5,13.591633333333334,0.20748058241712425,0.564,1,21.0,194.9716166666667,174.9716166666667,179.9716166666667,184.9716166666667,189.9716166666667
RED,2017-04-02 01:46:07.632,2017-04-02 01:52:59.258,1.41,3,6.860433333333333,0.20552637588490522,0.47,1,28.5,1.185950000000048,-18.814049999999952,-13.814049999999952,-8.814049999999952,-3.814049999999952
RED,2017-04-02 02:05:52.430,2017-04-02 02:13:44.631,1.61,3,7.870016666666667,0.20457389967407946,0.5366666666666667,1,27.0,9.055966666666677,-10.944033333333323,-5.944033333333323,-0.9440333333333228,4.055966666666677
RED,2017-04-02 02:22:21.913,2017-04-02 02:35:07.168,2.62,5,12.75425,0.20542172217104102,0.524,1,24.5,21.810216666666634,1.8102166666666335,6.8102166666666335,11.810216666666634,16.810216666666634
RED,2017-04-03 16:36:38.527,2017-04-03 16:52:17.285,4.17,2,15.645966666666668,0.26652236252580536,2.085,1,21.5,13.33913333333328,-6.6608666666667204,-1.6608666666667204,3.3391333333332796,8.33913333333328
RED,2017-04-09 17:09:51.446,2017-04-09 19:43:26.609,26.77,23,153.58605,0.17429968411844696,1.1639130434782607,1,32.0,33.431949999999915,13.431949999999915,18.431949999999915,23.431949999999915,28.431949999999915
RED,2017-04-09 19:51:27.600,2017-04-09 19:59:50.803,1.82,3,8.386716666666667,0.21700983499700918,0.6066666666666667,1,30.5,41.81866666666667,21.818666666666672,26.818666666666672,31.818666666666672,36.81866666666667
RED,2017-04-09 20:18:30.755,2017-04-09 20:27:05.912,1.82,2,8.58595,0.2119742136863131,0.91,1,29.5,50.404616666666584,30.404616666666584,35.404616666666584,40.404616666666584,45.404616666666584
RED,2017-04-09 21:48:04.095,2017-04-09 21:54:12.614,1.21,3,6.141983333333333,0.19700476773246428,0.4033333333333333,1,28.0,56.54660000000001,36.54660000000001,41.54660000000001,46.54660000000001,51.54660000000001
RED,2017-04-09 21:55:35.818,2017-04-09 22:07:30.049,2.42,2,11.90385,0.20329557244084895,1.21,1,27.0,68.45044999999993,48.45044999999993,53.45044999999993,58.45044999999993,63.45044999999993
